Disease,Age Range,BP Range,Sugar Range,Remedy,Yogasana,Diet Advice
"Diabetes",30-60,"120-140/80-90",150-250,"Neem, Gurmar, Turmeric","Vajrasana, Dhanurasana","Avoid sugar, eat bitter gourd"
"Hypertension",40-70,"140-180/90-110",-,"Arjuna bark, Sarpagandha","Shavasana, Sukhasana","Reduce salt, manage stress"
"Asthma",10-60,-,-,"Tulsi, Licorice, Ginger","Bhujangasana, Anulom Vilom","Avoid cold drinks, eat warm foods"
"PCOD",18-40,-,-,"Cinnamon, Fenugreek, Aloe Vera","Surya Namaskar, Baddha Konasana","Eat millets, avoid fried foods"
"Arthritis",30-70,-,-,"Ashwagandha, Turmeric, Ginger","Vrikshasana, Trikonasana","Include anti-inflammatory foods"
"Obesity",20-60,-,-,"Triphala, Guggul, Fenugreek","Adho Mukha Svanasana, Naukasana","Eat fiber-rich foods, avoid sugar"
"Insomnia",20-60,-,-,"Brahmi, Jatamansi, Ashwagandha","Shavasana, Viparita Karani","Drink warm milk, avoid caffeine"
"Anemia",15-50,-,-,"Amla, Ashwagandha, Beetroot","Tadasana, Setu Bandhasana","Include iron-rich foods, leafy greens"
"Migraine",18-60,-,-,"Feverfew, Brahmi, Ginger","Sukhasana, Balasana","Avoid trigger foods, stay hydrated"
"Digestive Issues",10-60,-,-,"Triphala, Ginger, Fennel","Pavanamuktasana, Ardha Matsyendrasana","Eat small meals, avoid processed foods"
"Constipation",10-70,-,-,"Triphala, Psyllium, Senna","Pawanmuktasana, Ardha Pawanmuktasana","Drink warm water, eat fiber-rich foods"
"Anxiety",15-60,-,-,"Brahmi, Ashwagandha, Valerian","Sukhasana, Pranayama","Avoid caffeine, practice relaxation techniques"
"Depression",15-60,-,-,"St. John's Wort, Brahmi, Ashwagandha","Shavasana, Viparita Karani","Regular sleep, balanced diet"
"Cold & Flu",5-60,-,-,"Tulsi, Ginger, Honey","Bhujangasana, Ardha Matsyendrasana","Warm fluids, vitamin C foods"
"Skin Issues",15-50,-,-,"Neem, Aloe Vera, Turmeric","Pranayama, Trikonasana","Avoid oily foods, drink plenty of water"
